Season,Tank,Deployment,Retrieval,Initial,Final,Diameter,Initials,Notes
Summer,U6,09.08.24 12:27,19.08.24 09:14,52.913,53.101,51.090,AR,
Summer,U6,09.08.24 12:27,19.08.24 09:14,51.533,52.171,49.120,AR,
Summer,U6,09.08.24 12:27,19.08.24 09:14,56.632,57.955,50.370,AR,
Summer,U7,09.08.24 12:36,21.08.24 13:27,38.791,39.316,47.170,AR,
Summer,U7,09.08.24 12:36,21.08.24 13:27,56.223,56.044,51.630,AR,
Summer,U7,09.08.24 12:36,21.08.24 13:27,61.388,61.115,51.370,AR,
Summer,U7,09.08.24 12:36,21.08.24 13:27,83.019,84.302,62.990,AR,
Summer,U7,09.08.24 12:36,21.08.24 13:27,66.372,66.906,55.710,AR,
Summer,U8,09.08.24 12:38,19.08.24 09:41,45.619,45.709,50.700,AR,
Summer,U8,09.08.24 12:38,19.08.24 09:41,74.153,73.657,55.530,AR,
Summer,U8,09.08.24 12:38,19.08.24 09:41,40.741,40.676,47.360,AR,
Summer,U8,09.08.24 12:38,19.08.24 09:41,42.319,42.528,47.690,AR,
Summer,U8,09.08.24 12:38,19.08.24 09:41,47.897,48.290,48.750,AR,
Summer,U9,09.08.24 12:52,19.08.24 10:02,61.643,60.982,53.360,AR,
Summer,U9,09.08.24 12:52,19.08.24 10:02,74.842,74.596,53.000,AR,
Summer,U9,09.08.24 12:52,19.08.24 10:02,62.720,63.269,52.920,AR,
Summer,U9,09.08.24 12:52,19.08.24 10:02,53.333,52.487,50.430,AR,
Summer,U9,09.08.24 12:52,19.08.24 10:02,57.206,56.966,53.520,AR,
Summer,U10,09.08.24 12:58,19.08.24 10:25,61.128,60.505,51.840,AR,
Summer,U10,09.08.24 12:58,19.08.24 10:25,68.406,68.609,53.450,AR,
Summer,U10,09.08.24 12:58,19.08.24 10:25,63.275,63.473,51.830,AR,
Summer,U10,09.08.24 12:58,19.08.24 10:25,70.397,70.421,55.440,AR,
Summer,U10,09.08.24 12:58,19.08.24 10:25,60.237,59.957,54.950,AR,
Summer,U11,09.08.24 13:05,21.08.24 13:40,59.416,NA,54.480,AR,dead
