Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.19354839,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.41666667,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.16107383,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.587257618,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.30922693,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.11397558,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.82496413,NA,1,Table 1,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.41666667,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.30769231,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.21428571,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.21428571,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.89393939,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.51515152,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.16216216,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74782609,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.00900901,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.89090909,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.56521739,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.94230769,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Egregia menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.17094017,NA,1,Table 2,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Stephanocystis dioica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.51773903,NA,1,Table 3,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Stephanocystis dioica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.81006145,NA,1,Table 3,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Petalonia fascia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.85902503,NA,1,Table 3,
Boolootian & Lasker 1964,10.1016/0010-406X(64)90109-4,"La Jolla, California, USA",NA,Strongylocentrotus purpuratus,Petalonia fascia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.70854858,NA,1,Table 3,
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Sargassum siliquastrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Sargassum thunbergii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Scytosiphon lomentaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Chondrus ocellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Chondrus ocellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Grateloupia elliptica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Palmaria palmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Rhodoglossum pulchrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Phyllospadix iwatensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6,NA,7,Table 1,"n calculated as mean, i.e. (5 + 8) / 2"
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,0.68777332,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,3.868724923,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,1.762419132,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,1.525997053,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,0.816730817,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,2.063319959,10,Table 3,s.d. estimated as range / ( 2 * Φ^−1(0.995) )
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.84423564,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.53983507,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.75651154,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Spring,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.45007118,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.57683858,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.98517637,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Summer,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.76664973,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Autumn,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.98536895,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Autumn,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.44962234,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Autumn,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.93001181,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1962,10.18960/seitai.12.5_181,"Sumiyoshi, Hakodate, Japan",Winter,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.62953082,NA,NA,Figure 3,s.e.m. cannot be converted to s.d. because n is unknown
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Ulva australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,1,Table 32,"Consider also table 21, 26"
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Alaria crassifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,Table 32,
Fuji 1967,hdl.handle.net/2115/21847,"Sumiyoshi, Hakodate, Japan",NA,Strongylocentrotus intermedius,Saccharina japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,1,Table 32,
Faller-Fritsch & Emson 1972 in Lawrence 1975,NA,United Kingdom,NA,Psammechinus miliaris,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,Table 7,
Faller-Fritsch & Emson 1972 in Lawrence 1975,NA,United Kingdom,NA,Psammechinus miliaris,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,Table 7,
Castro 1969,hdl.handle.net/10125/11997,"Kaneohe Bay, Oahu, Hawaii, USA",NA,Echinothrix calamaris,Laurencia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA,1,Table 14,
Castro 1969,hdl.handle.net/10125/11997,"Kaneohe Bay, Oahu, Hawaii, USA",NA,Echinothrix calamaris,Laurencia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,1,Table 14,
Castro 1969,hdl.handle.net/10125/11997,"Kaneohe Bay, Oahu, Hawaii, USA",NA,Echinothrix calamaris,Laurencia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,1,Table 14,
Castro 1969,hdl.handle.net/10125/11997,"Kaneohe Bay, Oahu, Hawaii, USA",NA,Echinothrix calamaris,Laurencia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,1,Table 14,
Castro 1969,hdl.handle.net/10125/11997,"Kaneohe Bay, Oahu, Hawaii, USA",NA,Echinothrix calamaris,Laurencia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA,1,Table 14,
Percy 1971,hdl.handle.net/20.500.14783/4234,"Portugal Cove, Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Laminaria digitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,NA,NA,Table 12,species name taken from Lawrence 1975
Percy 1971,hdl.handle.net/20.500.14783/4234,"Portugal Cove, Conception Bay, Newfoundland, Canada",Summer,Strongylocentrotus droebachiensis,Laminaria digitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,NA,NA,Table 12,species name taken from Lawrence 1975
Percy 1971,hdl.handle.net/20.500.14783/4234,"Portugal Cove, Conception Bay, Newfoundland, Canada",Summer,Strongylocentrotus droebachiensis,Laminaria digitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA,Table 12,species name taken from Lawrence 1975
Percy 1971,hdl.handle.net/20.500.14783/4234,"Portugal Cove, Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Laminaria digitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,NA,NA,Table 12,species name taken from Lawrence 1975
Himmelman 1969,hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Spring,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,NA,8,Table 3,
Himmelman 1969,hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Spring,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.61,NA,9,Table 3,
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,1,"Figure 8 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Alaria esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ulva sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ulva sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Ulva sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
"Himmelman 1969, Himmelman 1969 in Lawrence 1975",hdl.handle.net/20.500.14783/3874,"Conception Bay, Newfoundland, Canada",Autumn,Strongylocentrotus droebachiensis,Fucus vesiculosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,1,"Figure 9 in Himmelman 1969, Table 7 in Lawrence 1975",
